index,que_time,path_start_time,cross_time,return_time,start_pos,cross_pos,return_pos,direction,trigger,breakout_level,PTarget,Outer,max_pips_before_BE,cross_to_BE_minutes,cross_to_BE_time,fib_236,fib_382,fib_50,fib_618,fib_764,highest_high_above_trigger,time_highest,lowest_low_below_trigger,time_lowest,Break_evenKey,BEKeyTouches,Trade_survived_BEKey,PTarget_after_BEKey,Outer_after_BEKey,MFE_after_BEKey,outer_touched,outer_closed,ptarget_touched,ptarget_closed,fib_outer_distance,fib_ptarget_distance,fib_total_spread,outer_pre_trigger,ptarget_pre_trigger,fib_236_touched,fib_236_closed,fib_382_touched,fib_382_closed,fib_50_touched,fib_50_closed,fib_618_touched,fib_618_closed,fib_764_touched,fib_764_closed,path_length_minutes
0,2025-08-26 05:00:00+00:00,2025-08-26 06:00:00+00:00,2025-08-26 06:10:00+00:00,2025-08-26 06:42:00+00:00,0,6,28,RED,1.34656,1.34586,1.34682,1.34538,,-6,-10.0,1.34648016,1.34626992,1.3460999999999999,1.34593008,1.34571984,1.3466,2025-08-26 06:00:00+00:00,1.3449,2025-08-26 06:22:00+00:00,1.3466,1,0,1,1,17.000000000000348,1,1,1,1,0.0011799999999999589,0.00025999999999992696,0.0014399999999998858,1,1,1,1,1,1,1,1,1,1,1,1,30
1,2025-08-26 11:00:00+00:00,2025-08-26 12:13:00+00:00,2025-08-26 12:30:00+00:00,2025-08-26 12:32:00+00:00,10,24,25,RED,1.3488,1.34822,1.34934,1.34767,,-13,-16.0,1.34894588,1.34870206,1.3485049999999998,1.34830794,1.3480641199999999,1.34907,2025-08-26 12:14:00+00:00,1.34798,2025-08-26 12:30:00+00:00,1.34907,1,0,1,0,10.900000000000354,0,0,1,1,0.0011300000000000754,0.0005399999999999849,0.0016700000000000603,1,1,1,1,1,1,1,1,1,1,1,0,17
2,2025-08-26 21:00:00+00:00,2025-08-26 22:06:00+00:00,2025-08-26 23:03:00+00:00,2025-08-26 23:05:00+00:00,6,63,65,RED,1.34808,1.34786,1.34824,1.34768,,-30,-30.0,1.3481078400000002,1.3480260800000001,1.34796,1.34789392,1.34781216,1.34828,2025-08-26 22:33:00+00:00,1.34776,2025-08-26 23:03:00+00:00,1.34828,1,0,1,0,5.199999999998539,0,0,1,1,0.00039999999999995595,0.00016000000000016001,0.000560000000000116,1,1,1,1,1,1,1,1,1,1,1,0,61
3,2025-08-27 03:00:00+00:00,2025-08-27 04:00:00+00:00,2025-08-27 06:30:00+00:00,2025-08-27 07:01:00+00:00,0,21,38,GREEN,1.34577,1.34602,1.34556,1.34666,,-16,-136.0,1.3464004,1.3462398,1.34611,1.3459802,1.3458196,1.34656,2025-08-27 06:44:00+00:00,1.34546,2025-08-27 04:14:00+00:00,1.34546,1,0,1,0,10.999999999998789,0,0,1,1,0.0008900000000000574,0.00020999999999982144,0.0010999999999998789,1,1,1,1,1,1,1,1,1,1,1,1,40
4,2025-08-27 13:00:00+00:00,2025-08-27 14:04:00+00:00,2025-08-27 14:05:00+00:00,2025-08-27 14:06:00+00:00,2,3,4,RED,1.34472,1.34452,1.34559,1.3436,,-1,-1.0,1.3451203600000001,1.34482982,1.344595,1.34436018,1.3440696399999998,1.34494,2025-08-27 14:04:00+00:00,1.34438,2025-08-27 14:05:00+00:00,1.34494,1,0,1,0,5.60000000000116,0,0,1,1,0.0011200000000000099,0.0008700000000001484,0.0019900000000001583,1,1,1,1,1,1,1,1,0,0,0,0,4
5,2025-08-27 17:00:00+00:00,2025-08-27 18:01:00+00:00,2025-08-27 18:04:00+00:00,2025-08-27 18:28:00+00:00,1,4,23,RED,1.35016,1.34975,1.35022,1.34931,10.799999999999699,20,25.0,1.35000524,1.34987238,1.349765,1.34965762,1.34952476,,,1.34908,2025-08-27 18:13:00+00:00,1.35013,1,0,1,0,1.7000000000000348,1,1,1,1,0.0008500000000000174,5.999999999994898e-05,0.0009099999999999664,1,1,1,1,1,1,1,1,1,1,1,1,24
6,2025-08-27 22:00:00+00:00,2025-08-27 23:01:00+00:00,2025-08-27 23:02:00+00:00,2025-08-27 23:03:00+00:00,1,2,3,RED,1.34994,1.3499,1.35012,1.34962,0.9999999999998899,2,2.0,1.350002,1.349929,1.3498700000000001,1.349811,1.349738,1.35005,2025-08-27 23:04:00+00:00,1.34984,2025-08-27 23:02:00+00:00,1.35005,1,0,1,0,0.8999999999992347,0,0,1,1,0.00031999999999987594,0.000180000000000069,0.0004999999999999449,1,1,1,1,1,1,1,0,0,0,0,0,4
7,2025-08-27 23:00:00+00:00,2025-08-28 00:01:00+00:00,2025-08-28 00:07:00+00:00,2025-08-28 00:39:00+00:00,1,7,39,RED,1.35039,1.35012,1.35064,1.34984,,-6,-6.0,1.3504512,1.3503344,1.3502399999999999,1.3501456,1.3500288,1.35051,2025-08-28 00:01:00+00:00,1.34974,2025-08-28 00:27:00+00:00,1.35051,1,0,1,1,7.7000000000015945,1,1,1,1,0.0005500000000000504,0.0002500000000000835,0.0008000000000001339,1,1,1,1,1,1,1,1,1,1,1,1,40
8,2025-08-28 04:00:00+00:00,2025-08-28 05:21:00+00:00,2025-08-28 06:05:00+00:00,2025-08-28 06:27:00+00:00,21,55,76,GREEN,1.35044,1.35078,1.35033,1.35094,,-17,-18.0,1.35079604,1.35070698,1.350635,1.35056302,1.35047396,1.35134,2025-08-28 06:14:00+00:00,1.35002,2025-08-28 05:47:00+00:00,1.35002,1,0,1,1,13.199999999999878,1,1,1,1,0.0004999999999999449,0.0001100000000000545,0.0006099999999999994,1,1,1,1,1,1,1,1,1,1,1,1,57
9,2025-08-28 07:00:00+00:00,2025-08-28 08:59:00+00:00,2025-08-28 09:04:00+00:00,2025-08-28 09:46:00+00:00,15,20,57,GREEN,1.34994,1.35024,1.3488,1.35071,,-2,-2.0,1.35025924,1.34998038,1.349755,1.34952962,1.34925076,1.35074,2025-08-28 09:18:00+00:00,1.34988,2025-08-28 09:02:00+00:00,1.34988,1,0,1,1,8.60000000000083,1,0,1,1,0.0007700000000001594,0.0011399999999999189,0.0019100000000000783,1,1,1,1,1,1,1,1,1,1,1,1,44
