index,open,high,low,close,time,que_time
0,1.35734,1.35774,1.3568,1.35706,2025-08-13 17:00:00+00:00,2025-08-13 18:00:00+00:00
1,1.35706,1.35716,1.35637,1.35674,2025-08-13 18:00:00+00:00,2025-08-13 19:00:00+00:00
2,1.35673,1.35746,1.35641,1.35738,2025-08-13 19:00:00+00:00,2025-08-13 20:00:00+00:00
3,1.35701,1.35764,1.35701,1.35737,2025-08-13 21:00:00+00:00,2025-08-13 22:00:00+00:00
4,1.35742,1.35807,1.35739,1.35805,2025-08-13 22:00:00+00:00,2025-08-13 23:00:00+00:00
5,1.35804,1.35856,1.358,1.35854,2025-08-13 23:00:00+00:00,2025-08-14 00:00:00+00:00
6,1.3586,1.35921,1.35824,1.35836,2025-08-14 01:00:00+00:00,2025-08-14 02:00:00+00:00
7,1.35758,1.3577,1.35688,1.35734,2025-08-14 05:00:00+00:00,2025-08-14 06:00:00+00:00
8,1.35778,1.3595,1.3575,1.35808,2025-08-14 10:00:00+00:00,2025-08-14 11:00:00+00:00
9,1.35809,1.3584,1.35726,1.35742,2025-08-14 11:00:00+00:00,2025-08-14 12:00:00+00:00
10,1.35744,1.35826,1.35464,1.3553,2025-08-14 12:00:00+00:00,2025-08-14 13:00:00+00:00
11,1.35352,1.35572,1.35337,1.3556,2025-08-14 14:00:00+00:00,2025-08-14 15:00:00+00:00
12,1.3556,1.35569,1.35273,1.35299,2025-08-14 15:00:00+00:00,2025-08-14 16:00:00+00:00
13,1.353,1.35316,1.3521,1.35233,2025-08-14 16:00:00+00:00,2025-08-14 17:00:00+00:00
14,1.35321,1.35341,1.35244,1.3533,2025-08-14 18:00:00+00:00,2025-08-14 19:00:00+00:00
15,1.35332,1.35394,1.35322,1.3537,2025-08-14 19:00:00+00:00,2025-08-14 20:00:00+00:00
16,1.3537,1.35388,1.35299,1.353,2025-08-14 20:00:00+00:00,2025-08-14 21:00:00+00:00
17,1.35289,1.35317,1.35262,1.353,2025-08-14 23:00:00+00:00,2025-08-15 00:00:00+00:00
18,1.35302,1.35356,1.35274,1.35347,2025-08-15 00:00:00+00:00,2025-08-15 01:00:00+00:00
19,1.35348,1.35402,1.35312,1.35374,2025-08-15 01:00:00+00:00,2025-08-15 02:00:00+00:00
20,1.35373,1.35446,1.35354,1.35434,2025-08-15 02:00:00+00:00,2025-08-15 03:00:00+00:00
21,1.35477,1.355,1.35448,1.35477,2025-08-15 04:00:00+00:00,2025-08-15 05:00:00+00:00
22,1.35518,1.35548,1.35426,1.35529,2025-08-15 06:00:00+00:00,2025-08-15 07:00:00+00:00
23,1.35528,1.35604,1.35476,1.35552,2025-08-15 07:00:00+00:00,2025-08-15 08:00:00+00:00
24,1.35463,1.3558,1.3546,1.3557,2025-08-15 09:00:00+00:00,2025-08-15 10:00:00+00:00
25,1.35596,1.35714,1.35587,1.35626,2025-08-15 15:00:00+00:00,2025-08-15 16:00:00+00:00
26,1.35552,1.35586,1.35484,1.35524,2025-08-15 20:00:00+00:00,2025-08-17 21:00:00+00:00
27,1.35667,1.35667,1.35577,1.35618,2025-08-17 22:00:00+00:00,2025-08-17 23:00:00+00:00
28,1.3562,1.35624,1.35541,1.35561,2025-08-17 23:00:00+00:00,2025-08-18 00:00:00+00:00
29,1.35498,1.35575,1.35498,1.35564,2025-08-18 03:00:00+00:00,2025-08-18 04:00:00+00:00
30,1.35632,1.35643,1.35592,1.35614,2025-08-18 05:00:00+00:00,2025-08-18 06:00:00+00:00
31,1.35612,1.35635,1.35408,1.35454,2025-08-18 06:00:00+00:00,2025-08-18 07:00:00+00:00
32,1.35464,1.35506,1.35392,1.354,2025-08-18 09:00:00+00:00,2025-08-18 10:00:00+00:00
33,1.3544,1.35466,1.35359,1.35381,2025-08-18 13:00:00+00:00,2025-08-18 14:00:00+00:00
34,1.35161,1.35226,1.35112,1.35195,2025-08-18 15:00:00+00:00,2025-08-18 16:00:00+00:00
35,1.35092,1.35158,1.35072,1.35098,2025-08-18 17:00:00+00:00,2025-08-18 18:00:00+00:00
36,1.35054,1.35124,1.35053,1.35064,2025-08-18 19:00:00+00:00,2025-08-18 20:00:00+00:00
37,1.35061,1.35082,1.35016,1.35033,2025-08-18 20:00:00+00:00,2025-08-18 21:00:00+00:00
38,1.3508,1.35102,1.3501,1.35026,2025-08-19 00:00:00+00:00,2025-08-19 01:00:00+00:00
39,1.34988,1.3505,1.3497,1.35009,2025-08-19 03:00:00+00:00,2025-08-19 04:00:00+00:00
40,1.35052,1.35098,1.3498,1.35,2025-08-19 05:00:00+00:00,2025-08-19 06:00:00+00:00
41,1.35001,1.35149,1.34965,1.35144,2025-08-19 06:00:00+00:00,2025-08-19 07:00:00+00:00
42,1.35224,1.35264,1.35142,1.35214,2025-08-19 11:00:00+00:00,2025-08-19 12:00:00+00:00
43,1.35108,1.3516,1.34956,1.35025,2025-08-19 14:00:00+00:00,2025-08-19 15:00:00+00:00
44,1.35026,1.35058,1.34906,1.34932,2025-08-19 15:00:00+00:00,2025-08-19 16:00:00+00:00
45,1.34895,1.34958,1.3486,1.349,2025-08-19 17:00:00+00:00,2025-08-19 18:00:00+00:00
46,1.34854,1.34908,1.3482,1.34897,2025-08-19 19:00:00+00:00,2025-08-19 20:00:00+00:00
47,1.3489,1.3493,1.34884,1.34912,2025-08-19 22:00:00+00:00,2025-08-19 23:00:00+00:00
48,1.34912,1.34914,1.34846,1.34848,2025-08-19 23:00:00+00:00,2025-08-20 00:00:00+00:00
49,1.34848,1.34862,1.3475,1.34803,2025-08-20 00:00:00+00:00,2025-08-20 01:00:00+00:00
50,1.34804,1.34836,1.34706,1.34735,2025-08-20 01:00:00+00:00,2025-08-20 02:00:00+00:00
51,1.34724,1.34786,1.34721,1.34746,2025-08-20 04:00:00+00:00,2025-08-20 05:00:00+00:00
52,1.34746,1.34882,1.3472,1.34872,2025-08-20 05:00:00+00:00,2025-08-20 06:00:00+00:00
53,1.35008,1.35054,1.3497,1.35012,2025-08-20 09:00:00+00:00,2025-08-20 10:00:00+00:00
54,1.35012,1.35042,1.34904,1.34946,2025-08-20 10:00:00+00:00,2025-08-20 11:00:00+00:00
55,1.34779,1.34841,1.3461,1.34732,2025-08-20 14:00:00+00:00,2025-08-20 15:00:00+00:00
56,1.3449,1.34632,1.3449,1.34607,2025-08-20 16:00:00+00:00,2025-08-20 17:00:00+00:00
57,1.34608,1.34707,1.34592,1.34694,2025-08-20 17:00:00+00:00,2025-08-20 18:00:00+00:00
58,1.34563,1.34582,1.34544,1.34556,2025-08-20 22:00:00+00:00,2025-08-20 23:00:00+00:00
59,1.34568,1.34649,1.34532,1.34588,2025-08-21 01:00:00+00:00,2025-08-21 02:00:00+00:00
60,1.34523,1.34542,1.34484,1.34538,2025-08-21 05:00:00+00:00,2025-08-21 06:00:00+00:00
61,1.34456,1.34576,1.34354,1.34558,2025-08-21 07:00:00+00:00,2025-08-21 08:00:00+00:00
62,1.34558,1.34732,1.34509,1.34662,2025-08-21 08:00:00+00:00,2025-08-21 09:00:00+00:00
63,1.34756,1.34758,1.34655,1.34735,2025-08-21 10:00:00+00:00,2025-08-21 11:00:00+00:00
64,1.34736,1.3475,1.34544,1.34545,2025-08-21 11:00:00+00:00,2025-08-21 12:00:00+00:00
65,1.34546,1.34738,1.3442,1.34463,2025-08-21 12:00:00+00:00,2025-08-21 13:00:00+00:00
66,1.34264,1.3444,1.34238,1.34264,2025-08-21 14:00:00+00:00,2025-08-21 15:00:00+00:00
67,1.34146,1.34219,1.34056,1.34192,2025-08-21 16:00:00+00:00,2025-08-21 17:00:00+00:00
68,1.34226,1.34249,1.34174,1.34186,2025-08-21 18:00:00+00:00,2025-08-21 19:00:00+00:00
69,1.34104,1.34142,1.34102,1.34116,2025-08-21 21:00:00+00:00,2025-08-21 22:00:00+00:00
70,1.34178,1.34199,1.34141,1.34181,2025-08-21 23:00:00+00:00,2025-08-22 00:00:00+00:00
71,1.3418,1.34204,1.3415,1.34202,2025-08-22 00:00:00+00:00,2025-08-22 01:00:00+00:00
72,1.3411,1.34165,1.34086,1.34117,2025-08-22 02:00:00+00:00,2025-08-22 03:00:00+00:00
73,1.34118,1.34138,1.34004,1.34016,2025-08-22 03:00:00+00:00,2025-08-22 04:00:00+00:00
74,1.3394,1.33978,1.33923,1.33943,2025-08-22 05:00:00+00:00,2025-08-22 06:00:00+00:00
75,1.3394,1.34048,1.33906,1.3402,2025-08-22 06:00:00+00:00,2025-08-22 07:00:00+00:00
76,1.3402,1.34106,1.34016,1.34061,2025-08-22 07:00:00+00:00,2025-08-22 08:00:00+00:00
77,1.34156,1.34207,1.34115,1.34133,2025-08-22 12:00:00+00:00,2025-08-22 13:00:00+00:00
78,1.34134,1.34324,1.34124,1.34232,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00
79,1.34234,1.35248,1.34234,1.35248,2025-08-22 14:00:00+00:00,2025-08-22 15:00:00+00:00
80,1.35256,1.35444,1.35256,1.35368,2025-08-22 17:00:00+00:00,2025-08-22 18:00:00+00:00
81,1.35367,1.35403,1.3523,1.35255,2025-08-22 18:00:00+00:00,2025-08-22 19:00:00+00:00
82,1.35256,1.35265,1.35174,1.35188,2025-08-22 19:00:00+00:00,2025-08-22 20:00:00+00:00
83,1.35187,1.35298,1.35182,1.35275,2025-08-22 20:00:00+00:00,2025-08-24 21:00:00+00:00
84,1.35176,1.35254,1.35136,1.35158,2025-08-24 22:00:00+00:00,2025-08-24 23:00:00+00:00
85,1.3516,1.35178,1.35082,1.35086,2025-08-24 23:00:00+00:00,2025-08-25 00:00:00+00:00
86,1.35087,1.35094,1.3495,1.34976,2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00
87,1.3494,1.35014,1.34913,1.35,2025-08-25 02:00:00+00:00,2025-08-25 03:00:00+00:00
88,1.35116,1.3512,1.35072,1.35112,2025-08-25 05:00:00+00:00,2025-08-25 06:00:00+00:00
89,1.35113,1.35275,1.35113,1.35198,2025-08-25 06:00:00+00:00,2025-08-25 07:00:00+00:00
90,1.35036,1.3509,1.35024,1.35034,2025-08-25 08:00:00+00:00,2025-08-25 09:00:00+00:00
91,1.35032,1.35049,1.34924,1.3495,2025-08-25 09:00:00+00:00,2025-08-25 10:00:00+00:00
92,1.3495,1.34967,1.34841,1.34907,2025-08-25 10:00:00+00:00,2025-08-25 11:00:00+00:00
93,1.35088,1.35118,1.35004,1.35025,2025-08-25 14:00:00+00:00,2025-08-25 15:00:00+00:00
94,1.34894,1.3493,1.3485,1.34882,2025-08-25 16:00:00+00:00,2025-08-25 17:00:00+00:00
95,1.3488,1.349,1.34775,1.34794,2025-08-25 17:00:00+00:00,2025-08-25 18:00:00+00:00
96,1.34794,1.34812,1.34581,1.34607,2025-08-25 18:00:00+00:00,2025-08-25 19:00:00+00:00
97,1.34562,1.34576,1.345,1.34547,2025-08-25 23:00:00+00:00,2025-08-26 00:00:00+00:00
98,1.34808,1.3483,1.34674,1.34719,2025-08-26 01:00:00+00:00,2025-08-26 02:00:00+00:00
99,1.34718,1.34772,1.34615,1.34647,2025-08-26 02:00:00+00:00,2025-08-26 03:00:00+00:00
100,1.34516,1.34586,1.34504,1.34571,2025-08-26 04:00:00+00:00,2025-08-26 05:00:00+00:00
101,1.34558,1.34698,1.34557,1.34637,2025-08-26 08:00:00+00:00,2025-08-26 09:00:00+00:00
102,1.348,1.34822,1.34724,1.34791,2025-08-26 10:00:00+00:00,2025-08-26 11:00:00+00:00
103,1.34818,1.3493,1.3477,1.34776,2025-08-26 16:00:00+00:00,2025-08-26 17:00:00+00:00
104,1.34797,1.34858,1.34784,1.34788,2025-08-26 19:00:00+00:00,2025-08-26 20:00:00+00:00
105,1.34786,1.34786,1.34729,1.34776,2025-08-26 20:00:00+00:00,2025-08-26 21:00:00+00:00
106,1.3481,1.34814,1.34754,1.3477,2025-08-26 23:00:00+00:00,2025-08-27 00:00:00+00:00
107,1.34717,1.3475,1.34689,1.347,2025-08-27 01:00:00+00:00,2025-08-27 02:00:00+00:00
108,1.347,1.34708,1.34602,1.34626,2025-08-27 02:00:00+00:00,2025-08-27 03:00:00+00:00
109,1.34625,1.34666,1.34556,1.34577,2025-08-27 03:00:00+00:00,2025-08-27 04:00:00+00:00
110,1.34486,1.34561,1.3447,1.3456,2025-08-27 05:00:00+00:00,2025-08-27 06:00:00+00:00
111,1.34453,1.345,1.34404,1.34416,2025-08-27 09:00:00+00:00,2025-08-27 10:00:00+00:00
112,1.34224,1.34354,1.34166,1.34308,2025-08-27 11:00:00+00:00,2025-08-27 12:00:00+00:00
113,1.34308,1.34452,1.34308,1.34416,2025-08-27 12:00:00+00:00,2025-08-27 13:00:00+00:00
114,1.34416,1.34559,1.3436,1.34472,2025-08-27 13:00:00+00:00,2025-08-27 14:00:00+00:00
115,1.34471,1.34614,1.34438,1.34604,2025-08-27 14:00:00+00:00,2025-08-27 15:00:00+00:00
116,1.34604,1.34736,1.34604,1.34664,2025-08-27 15:00:00+00:00,2025-08-27 16:00:00+00:00
117,1.34663,1.34975,1.34663,1.34963,2025-08-27 16:00:00+00:00,2025-08-27 17:00:00+00:00
118,1.34952,1.3499,1.34934,1.34967,2025-08-27 21:00:00+00:00,2025-08-27 22:00:00+00:00
119,1.34962,1.35012,1.34962,1.34994,2025-08-27 22:00:00+00:00,2025-08-27 23:00:00+00:00
120,1.35051,1.35124,1.3501,1.35044,2025-08-28 01:00:00+00:00,2025-08-28 02:00:00+00:00
121,1.35164,1.35186,1.35078,1.3508,2025-08-28 03:00:00+00:00,2025-08-28 04:00:00+00:00
122,1.35044,1.35134,1.35024,1.3504,2025-08-28 06:00:00+00:00,2025-08-28 07:00:00+00:00
123,1.34992,1.35014,1.34834,1.34992,2025-08-28 08:00:00+00:00,2025-08-28 09:00:00+00:00
124,1.34992,1.35074,1.34988,1.35018,2025-08-28 09:00:00+00:00,2025-08-28 10:00:00+00:00
125,1.3521,1.35248,1.35122,1.35146,2025-08-28 11:00:00+00:00,2025-08-28 12:00:00+00:00
126,1.35035,1.35114,1.34892,1.35066,2025-08-28 13:00:00+00:00,2025-08-28 14:00:00+00:00
127,1.35117,1.35182,1.3505,1.35148,2025-08-28 15:00:00+00:00,2025-08-28 16:00:00+00:00
128,1.35222,1.35308,1.35183,1.35213,2025-08-28 17:00:00+00:00,2025-08-28 18:00:00+00:00
129,1.35212,1.35228,1.35136,1.3516,2025-08-28 18:00:00+00:00,2025-08-28 19:00:00+00:00
130,1.35108,1.35123,1.35086,1.35106,2025-08-28 21:00:00+00:00,2025-08-28 22:00:00+00:00
131,1.35082,1.35112,1.35032,1.35087,2025-08-29 00:00:00+00:00,2025-08-29 01:00:00+00:00
132,1.35022,1.35025,1.3496,1.34988,2025-08-29 03:00:00+00:00,2025-08-29 04:00:00+00:00
133,1.35032,1.35033,1.3493,1.34999,2025-08-29 05:00:00+00:00,2025-08-29 06:00:00+00:00
134,1.34906,1.34951,1.34838,1.34913,2025-08-29 07:00:00+00:00,2025-08-29 08:00:00+00:00
135,1.34912,1.34943,1.347,1.34775,2025-08-29 08:00:00+00:00,2025-08-29 09:00:00+00:00
136,1.34599,1.34656,1.34541,1.3462,2025-08-29 10:00:00+00:00,2025-08-29 11:00:00+00:00
137,1.34538,1.34627,1.34465,1.34606,2025-08-29 12:00:00+00:00,2025-08-29 13:00:00+00:00
138,1.34605,1.34701,1.34468,1.34691,2025-08-29 13:00:00+00:00,2025-08-29 14:00:00+00:00
139,1.3508,1.35082,1.35018,1.35032,2025-08-29 17:00:00+00:00,2025-08-29 18:00:00+00:00
140,1.35032,1.35112,1.34997,1.35104,2025-08-29 18:00:00+00:00,2025-08-29 19:00:00+00:00
141,1.35102,1.35156,1.35057,1.35154,2025-08-29 19:00:00+00:00,2025-08-29 20:00:00+00:00
142,1.3503,1.35054,1.35005,1.35034,2025-08-31 23:00:00+00:00,2025-09-01 00:00:00+00:00
143,1.35185,1.35194,1.35054,1.35122,2025-09-01 01:00:00+00:00,2025-09-01 02:00:00+00:00
144,1.35271,1.35295,1.352,1.35234,2025-09-01 03:00:00+00:00,2025-09-01 04:00:00+00:00
145,1.35234,1.35238,1.35168,1.35184,2025-09-01 04:00:00+00:00,2025-09-01 05:00:00+00:00
146,1.35183,1.35278,1.35174,1.35253,2025-09-01 05:00:00+00:00,2025-09-01 06:00:00+00:00
147,1.35242,1.35332,1.35226,1.35242,2025-09-01 11:00:00+00:00,2025-09-01 12:00:00+00:00
148,1.35242,1.35338,1.35238,1.35334,2025-09-01 12:00:00+00:00,2025-09-01 13:00:00+00:00
149,1.35335,1.3545,1.3531,1.35369,2025-09-01 13:00:00+00:00,2025-09-01 14:00:00+00:00
150,1.35422,1.35433,1.35404,1.35426,2025-09-01 17:00:00+00:00,2025-09-01 18:00:00+00:00
151,1.35426,1.35441,1.35416,1.35438,2025-09-01 18:00:00+00:00,2025-09-01 19:00:00+00:00
152,1.35484,1.355,1.35447,1.35449,2025-09-01 20:00:00+00:00,2025-09-01 21:00:00+00:00
153,1.3545,1.35494,1.3544,1.35463,2025-09-01 23:00:00+00:00,2025-09-02 00:00:00+00:00
154,1.35378,1.35415,1.35331,1.35363,2025-09-02 01:00:00+00:00,2025-09-02 02:00:00+00:00
155,1.35261,1.353,1.35232,1.35276,2025-09-02 04:00:00+00:00,2025-09-02 05:00:00+00:00
156,1.35276,1.3531,1.35202,1.35211,2025-09-02 05:00:00+00:00,2025-09-02 06:00:00+00:00
157,1.35211,1.35336,1.35211,1.35314,2025-09-02 06:00:00+00:00,2025-09-02 07:00:00+00:00
158,1.34136,1.34179,1.33815,1.33996,2025-09-02 09:00:00+00:00,2025-09-02 10:00:00+00:00
159,1.33788,1.33854,1.33697,1.33838,2025-09-02 11:00:00+00:00,2025-09-02 12:00:00+00:00
160,1.33518,1.33961,1.33426,1.33902,2025-09-02 13:00:00+00:00,2025-09-02 14:00:00+00:00
161,1.33906,1.34188,1.33906,1.33972,2025-09-02 14:00:00+00:00,2025-09-02 15:00:00+00:00
162,1.33928,1.33942,1.33841,1.33844,2025-09-02 17:00:00+00:00,2025-09-02 18:00:00+00:00
163,1.33844,1.33869,1.3375,1.33794,2025-09-02 18:00:00+00:00,2025-09-02 19:00:00+00:00
164,1.33794,1.33914,1.33792,1.33907,2025-09-02 19:00:00+00:00,2025-09-02 20:00:00+00:00
165,1.33894,1.33944,1.33888,1.33944,2025-09-02 21:00:00+00:00,2025-09-02 22:00:00+00:00
166,1.33946,1.33958,1.33866,1.3387,2025-09-02 22:00:00+00:00,2025-09-02 23:00:00+00:00
167,1.3387,1.33879,1.33813,1.33813,2025-09-02 23:00:00+00:00,2025-09-03 00:00:00+00:00
168,1.33814,1.33834,1.33724,1.3376,2025-09-03 00:00:00+00:00,2025-09-03 01:00:00+00:00
