time,open,high,low,close,direction,breakout_level,Trigger,Outer,PTarget,fib_236,fib_382,fib_50,fib_618,fib_764
2025-08-26 05:00:00+00:00,1.3457,1.34682,1.34538,1.34656,GREEN,1.34586,1.34656,1.34538,1.34682,1.34648016,1.34626992,1.3460999999999999,1.34593008,1.34571984
2025-08-26 09:00:00+00:00,1.34634,1.34814,1.34614,1.34798,GREEN,1.34698,1.34798,1.34614,1.34814,1.3476679999999999,1.347376,1.34714,1.3469039999999999,1.346612
2025-08-26 11:00:00+00:00,1.34792,1.34934,1.34767,1.3488,GREEN,1.34822,1.3488,1.34767,1.34934,1.34894588,1.34870206,1.3485049999999998,1.34830794,1.3480641199999999
2025-08-26 17:00:00+00:00,1.34778,1.34808,1.34726,1.34727,RED,1.3477,1.34727,1.34808,1.34726,1.3478864799999999,1.3477667599999998,1.34767,1.34757324,1.34745352
2025-08-26 20:00:00+00:00,1.34786,1.34786,1.34729,1.34776,RED,1.34784,1.34776,1.34786,1.34729,1.34772548,1.34764226,1.347575,1.3475077400000002,1.3474245200000001
2025-08-26 21:00:00+00:00,1.34802,1.34824,1.34768,1.34808,GREEN,1.34786,1.34808,1.34768,1.34824,1.3481078400000002,1.3480260800000001,1.34796,1.34789392,1.34781216
2025-08-27 00:00:00+00:00,1.34769,1.34782,1.3469,1.34716,RED,1.34754,1.34716,1.34782,1.3469,1.34760288,1.34746856,1.3473600000000001,1.34725144,1.34711712
2025-08-27 02:00:00+00:00,1.347,1.34708,1.34602,1.34626,RED,1.34689,1.34626,1.34708,1.34602,1.34682984,1.34667508,1.3465500000000001,1.34642492,1.34627016
2025-08-27 03:00:00+00:00,1.34625,1.34666,1.34556,1.34577,RED,1.34602,1.34577,1.34666,1.34556,1.3464004,1.3462398,1.34611,1.3459802,1.3458196
2025-08-27 04:00:00+00:00,1.34579,1.34582,1.34471,1.34486,RED,1.34556,1.34486,1.34582,1.34471,1.34555804,1.34539598,1.345265,1.3451340200000002,1.34497196
2025-08-27 06:00:00+00:00,1.34562,1.34658,1.34526,1.34641,GREEN,1.34561,1.34641,1.34526,1.34658,1.34626848,1.34607576,1.34592,1.34576424,1.34557152
2025-08-27 10:00:00+00:00,1.34414,1.3442,1.34213,1.34223,RED,1.34404,1.34223,1.3442,1.34213,1.34371148,1.34340926,1.343165,1.34292074,1.34261852
2025-08-27 12:00:00+00:00,1.34308,1.34452,1.34308,1.34416,GREEN,1.34354,1.34416,1.34308,1.34452,1.34418016,1.34396992,1.3437999999999999,1.34363008,1.34341984
2025-08-27 13:00:00+00:00,1.34416,1.34559,1.3436,1.34472,GREEN,1.34452,1.34472,1.3436,1.34559,1.3451203600000001,1.34482982,1.344595,1.34436018,1.3440696399999998
2025-08-27 14:00:00+00:00,1.34471,1.34614,1.34438,1.34604,GREEN,1.34559,1.34604,1.34438,1.34614,1.3457246399999998,1.3454676799999998,1.34526,1.34505232,1.34479536
2025-08-27 15:00:00+00:00,1.34604,1.34736,1.34604,1.34664,GREEN,1.34614,1.34664,1.34604,1.34736,1.34704848,1.34685576,1.3466999999999998,1.3465442399999998,1.3463515199999998
2025-08-27 16:00:00+00:00,1.34663,1.34975,1.34663,1.34963,GREEN,1.34736,1.34963,1.34663,1.34975,1.34901368,1.34855816,1.34819,1.34782184,1.34736632
2025-08-27 17:00:00+00:00,1.34964,1.35022,1.34931,1.35016,GREEN,1.34975,1.35016,1.34931,1.35022,1.35000524,1.34987238,1.349765,1.34965762,1.34952476
2025-08-27 22:00:00+00:00,1.34962,1.35012,1.34962,1.34994,GREEN,1.3499,1.34994,1.34962,1.35012,1.350002,1.349929,1.3498700000000001,1.349811,1.349738
2025-08-27 23:00:00+00:00,1.34994,1.35064,1.34984,1.35039,GREEN,1.35012,1.35039,1.34984,1.35064,1.3504512,1.3503344,1.3502399999999999,1.3501456,1.3500288
2025-08-28 02:00:00+00:00,1.35045,1.35182,1.35039,1.35165,GREEN,1.35124,1.35165,1.35039,1.35182,1.35148252,1.3512737400000001,1.351105,1.3509362599999999,1.35072748
2025-08-28 04:00:00+00:00,1.3508,1.35094,1.35033,1.35044,RED,1.35078,1.35044,1.35094,1.35033,1.35079604,1.35070698,1.350635,1.35056302,1.35047396
2025-08-28 07:00:00+00:00,1.3504,1.35071,1.3488,1.34994,RED,1.35024,1.34994,1.35071,1.3488,1.35025924,1.34998038,1.349755,1.34952962,1.34925076
